trustLevel,totalScanTimeInSeconds,grandTotal,scansWithoutRegistration,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud,checkoutTime,customer_sex,storeLocation,paymentType
5,1054,54.7,0,0.0275142314990512,0.0518975332068311,0.241379310344828,0,2020/01/09 07:21:25,female,Stuttgart,Volksbank Frankfurt
3,108,27.36,2,0.12962962962963,0.253333333333333,0.3571428571428571,0,2020/01/09 07:19:48,female,München,BB Bank Karlsruhe
3,1516,62.16,10,0.00857519788918206,0.0410026385224274,0.23076923076923106,0,2020/11/15 20:05:34,female,Frankfurt,Sparkasse Frankfurt
6,1791,92.31,4,0.0161920714684534,0.0515410385259632,0.27586206896551696,0,2020/01/25 08:01:21,female,München,Sparkasse Karlsruhe
5,430,81.53,7,0.0627906976744186,0.18960465116279104,0.111111111111111,0,2020/03/15 10:03:04,male,München,Sparkasse Stuttgart
1,770,11.09,5,0.0337662337662338,0.0144025974025974,0.42307692307692296,1,2020/10/01 12:14:26,male,München,Visa
3,294,55.63,7,0.0374149659863946,0.18921768707483,0.181818181818182,0,2020/04/30 11:56:56,male,Stuttgart,Volksbank Karlsruhe
2,1545,22.8,8,0.00647249190938511,0.0147572815533981,0.0,0,2020/03/11 09:54:31,male,Stuttgart,Apple Pay
6,962,65.44,0,0.0280665280665281,0.068024948024948,0.25925925925925897,0,2020/04/17 11:23:22,female,Frankfurt,Volksbank Stuttgart
2,725,41.08,2,0.0372413793103448,0.0566620689655172,0.37037037037037,0,2020/08/14 16:17:34,,Karlsruhe,Volksbank Frankfurt
5,1533,84.73,2,0.0104370515329419,0.0552707110241357,0.25,0,2020/02/09 08:36:53,male,Karlsruhe,Volksbank Karlsruhe
4,764,28.98,0,0.0261780104712042,0.0379319371727749,0.4,0,2020/05/23 12:52:47,,München,Google Pay
4,1736,5.46,10,0.00576036866359447,0.0031451612903225803,0.4,0,2020/12/18 21:27:10,,Stuttgart,Volksbank Frankfurt
4,1705,16.96,4,0.0158357771260997,0.00994721407624633,0.25925925925925897,0,2020/05/31 13:11:26,female,Frankfurt,Volksbank Stuttgart
6,1659,52.53,1,0.0126582278481013,0.0316636528028933,0.0952380952380952,0,2020/02/10 08:40:13,,Stuttgart,Volksbank Frankfurt
1,870,32.45,1,0.00689655172413793,0.0372988505747126,0.5,0,2020/02/13 08:47:41,female,Karlsruhe,Google Pay
3,1295,42.9,10,0.016988416988417,0.0331274131274131,0.5,0,2020/12/25 21:44:02,female,Stuttgart,Sparkasse Frankfurt
6,590,79.84,10,0.0406779661016949,0.135322033898305,0.25,0,2020/04/15 11:20:13,female,München,BB Bank Karlsruhe
3,139,59.0,5,0.0287769784172662,0.4244604316546761,2.0,0,2020/09/24 17:58:51,male,Karlsruhe,BB Bank Karlsruhe
3,1724,25.4,4,0.0110208816705336,0.0147331786542923,0.368421052631579,0,2020/11/28 20:38:06,male,München,Sparkasse Stuttgart
3,1691,59.61,2,0.00887049083382614,0.0352513305736251,0.0666666666666667,0,2020/10/23 19:09:07,female,Stuttgart,BB Bank Karlsruhe
4,1505,2.7,4,0.00332225913621262,0.0017940199335548198,1.2,0,2020/12/06 20:57:22,male,Karlsruhe,Sparkasse Karlsruhe
4,934,98.54,5,0.00856531049250535,0.105503211991435,0.0,0,2020/05/07 12:13:45,male,München,Visa
2,125,25.5,6,0.192,0.204,0.208333333333333,0,2020/04/28 11:51:15,male,Stuttgart,BB Bank Karlsruhe
1,71,78.91,4,0.0140845070422535,1.11140845070423,1.0,0,2020/05/20 12:45:32,female,München,Apple Pay
5,816,81.54,7,0.0110294117647059,0.0999264705882353,0.8888888888888891,0,2020/12/22 21:36:43,male,Stuttgart,Sparkasse Munchen
3,1503,23.0,3,0.019294743845642,0.0153027278775782,0.34482758620689696,0,2020/06/06 13:26:43,female,München,BB Bank Karlsruhe
4,329,56.65,2,0.0638297872340425,0.17218844984802406,0.4761904761904761,0,2020/04/29 11:54:16,,München,Google Pay
6,1629,40.42,7,0.0135052179251074,0.0248127685696746,0.272727272727273,0,2020/10/27 19:19:47,male,Frankfurt,BB Bank Karlsruhe
5,1435,91.96,3,0.0132404181184669,0.0640836236933798,0.210526315789474,0,2020/02/11 08:42:56,female,Stuttgart,Sparkasse Munchen
6,314,48.54,1,0.0764331210191083,0.154585987261147,0.25,0,2020/02/13 08:47:37,female,Karlsruhe,Sparkasse Munchen
5,285,6.23,6,0.105263157894737,0.021859649122807,0.166666666666667,0,2020/05/11 12:24:22,female,Stuttgart,Volksbank Karlsruhe
5,891,78.96,10,0.0280583613916947,0.0886195286195286,0.08,0,2020/04/19 11:29:30,,Frankfurt,Sparkasse Stuttgart
2,1355,48.87,0,0.00516605166051661,0.0360664206642066,0.28571428571428603,0,2020/04/18 11:26:35,male,München,Volksbank Frankfurt
2,866,39.38,9,0.0046189376443418,0.045473441108545,2.5,0,2020/03/02 09:31:07,female,München,Sparkasse Stuttgart
2,335,14.4,9,0.0149253731343284,0.0429850746268657,0.0,0,2020/07/07 14:42:49,female,München,Cash
5,834,80.64,10,0.0155875299760192,0.0966906474820144,0.0,0,2020/05/01 11:59:07,,München,Sparkasse Stuttgart
2,1397,62.59,9,0.0178954903364352,0.0448031496062992,0.28,1,2020/09/04 11:43:48,female,München,Volksbank Karlsruhe
5,1561,91.75,6,0.0121716848174247,0.0587764253683536,0.368421052631579,0,2020/10/23 19:07:56,male,München,Volksbank Karlsruhe
4,847,22.88,5,0.0106257378984652,0.027012987012987003,0.444444444444444,0,2020/03/19 10:13:03,female,Frankfurt,Sparkasse Karlsruhe
1,1520,41.88,8,0.00131578947368421,0.0275526315789474,3.0,0,2020/11/15 20:05:56,male,Stuttgart,Volksbank Karlsruhe
2,622,60.75,5,0.0128617363344051,0.0976688102893891,1.375,0,2020/08/05 15:54:29,female,Karlsruhe,BB Bank Karlsruhe
4,1012,59.9,3,0.0148221343873518,0.0591897233201581,0.133333333333333,0,2020/04/13 11:13:41,female,München,Volksbank Karlsruhe
2,1451,23.1,9,0.00137835975189524,0.0159200551343901,1.5,0,2020/03/10 09:50:29,male,München,Visa
2,401,80.86,1,0.0199501246882793,0.201645885286783,0.0,0,2020/01/31 08:15:06,female,Karlsruhe,Volksbank Frankfurt
6,960,93.09,2,0.0104166666666667,0.09696875,0.7,0,2020/08/19 16:28:29,female,München,Sparkasse Frankfurt
6,1433,72.19,7,0.0174459176552687,0.0503768318213538,0.28,0,2020/04/04 10:52:25,,Karlsruhe,Volksbank Frankfurt
6,1424,66.9,8,0.0175561797752809,0.0469803370786517,0.36,0,2020/10/22 19:05:50,male,Frankfurt,Sparkasse Frankfurt
6,1820,54.64,0,0.007142857142857141,0.030021978021978,0.0,0,2020/11/02 19:33:56,female,München,BB Bank Karlsruhe
1,16,32.29,0,1.5,2.018125,0.0833333333333333,0,2020/08/09 16:04:42,female,München,Google Pay
4,617,90.73,0,0.00162074554294976,0.147050243111831,0.0,0,2020/05/31 13:13:06,female,Karlsruhe,Sparkasse Stuttgart
3,1593,25.53,2,0.0175768989328311,0.0160263653483992,0.0714285714285714,0,2020/11/30 20:43:11,male,Stuttgart,Sparkasse Stuttgart
1,608,85.05,5,0.0131578947368421,0.13988486842105302,0.375,0,2020/04/12 11:11:30,male,München,Sparkasse Frankfurt
1,1385,34.68,8,0.0194945848375451,0.0250397111913357,0.185185185185185,1,2020/10/14 12:29:51,female,Karlsruhe,Cash
3,983,14.07,4,0.0193285859613428,0.0143133265513733,0.105263157894737,0,2020/03/26 10:31:15,female,Frankfurt,Cash
1,768,7.24,10,0.0143229166666667,0.009427083333333329,0.363636363636364,0,2020/09/20 17:47:14,female,Karlsruhe,Mastercard
1,1474,60.64,0,0.0128900949796472,0.0411397557666214,0.473684210526316,0,2020/12/21 21:33:33,,München,BB Bank Karlsruhe
6,692,21.65,7,0.0216763005780347,0.0312861271676301,0.4666666666666671,0,2020/09/10 17:22:39,male,München,Volksbank Frankfurt
